design,platform,config_hash,param_hash,tag,status,critical_path_ns,die_area,total_power_mw,instance_area_um2,stdcell_area_um2,stdcell_count,core_area_um2,utilization_pct,flow_elapsed_seconds,stage_elapsed_seconds,params_json,result_path,work_result_json,failure_stage,failure_returncode,failure_signature,failure_log_path,synth_script_path,synth_script_sha1
attention_decode_score_multivalue_cluster_int8_m1x8_iterdiv,nangate45,d037eabb6abd,4b9fd318,decode_score_multivalue_cluster_v1_proxy_die_2500,ok,7.2189,6250000.0,0.3,2784810.0,237992.0,180654.0,5760000.0,48.34739583333333,2012.5,,"{""CLOCK_PERIOD"": 10, ""CORE_AREA"": ""50 50 2450 2450"", ""DIE_AREA"": ""0 0 2500 2500"", ""FLOW_VARIANT"": ""decode_score_multivalue_cluster_v1_proxy_die_2500"", ""PLACE_DENSITY"": 0.4, ""SYNTH_HIERARCHICAL"": 1, ""SYNTH_MEMORY_MAX_BITS"": 65536, ""TAG"": ""decode_score_multivalue_cluster_v1_proxy_die_2500"", ""tag_prefix"": ""decode_score_multivalue_cluster_v1""}",/orfs/flow/reports/nangate45/attention_decode_score_multivalue_cluster_int8_m1x8_iterdiv/decode_score_multivalue_cluster_v1_proxy_die_2500/6_finish.rpt,runs/designs/npu_blocks/attention_decode_score_multivalue_cluster_int8_m1x8_iterdiv/work/4b9fd318/result.json,,,,,/tmp/rtlcp-worktree-76om3rft/repo/runs/designs/npu_blocks/attention_decode_score_multivalue_cluster_int8_m1x8_iterdiv/work/4b9fd318/synth_preserve_blackbox.tcl,2a1e5d08fb9482ecb404d2954781ddfc9301a761
attention_decode_score_multivalue_cluster_int8_m1x8_iterdiv,nangate45,d037eabb6abd,939c71c3,decode_score_multivalue_cluster_v1_8ns_bridge_proxy_die_2500,ok,7.1765,6250000.0,0.348,2785000.0,238187.0,180833.0,5760000.0,48.35069444444444,2089.11,,"{""CLOCK_PERIOD"": 8, ""CORE_AREA"": ""50 50 2450 2450"", ""DIE_AREA"": ""0 0 2500 2500"", ""FLOW_VARIANT"": ""decode_score_multivalue_cluster_v1_8ns_bridge_proxy_die_2500"", ""PLACE_DENSITY"": 0.4, ""SYNTH_HIERARCHICAL"": 1, ""SYNTH_MEMORY_MAX_BITS"": 65536, ""TAG"": ""decode_score_multivalue_cluster_v1_8ns_bridge_proxy_die_2500"", ""tag_prefix"": ""decode_score_multivalue_cluster_v1_8ns_bridge""}",/orfs/flow/reports/nangate45/attention_decode_score_multivalue_cluster_int8_m1x8_iterdiv/decode_score_multivalue_cluster_v1_8ns_bridge_proxy_die_2500/6_finish.rpt,runs/designs/npu_blocks/attention_decode_score_multivalue_cluster_int8_m1x8_iterdiv/work/939c71c3/result.json,,,,,/tmp/rtlcp-worktree-_dpo08ro/repo/runs/designs/npu_blocks/attention_decode_score_multivalue_cluster_int8_m1x8_iterdiv/work/939c71c3/synth_preserve_blackbox.tcl,2a1e5d08fb9482ecb404d2954781ddfc9301a761
