design,platform,config_hash,param_hash,tag,status,critical_path_ns,die_area,total_power_mw,params_json,result_path
l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper,nangate45,712b7eb0e34c,6fb817c7,l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_9b900945,ok,0.4094,54400.8976,0.0259,"{""CLOCK_PERIOD"": 1.0, ""CORE_UTILIZATION"": 40, ""PLACE_DENSITY"": 0.52, ""TAG"": ""l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_9b900945""}",runs/designs/noc/l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper/work/6fb817c7/result.json
l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper,nangate45,712b7eb0e34c,34bad270,l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_d64a96fd,ok,0.3922,43607.880625,0.0257,"{""CLOCK_PERIOD"": 1.0, ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.52, ""TAG"": ""l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_d64a96fd""}",runs/designs/noc/l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper/work/34bad270/result.json
l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper,nangate45,712b7eb0e34c,6819c5d8,l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_5137e93f,ok,0.3912,36406.548025,0.0255,"{""CLOCK_PERIOD"": 1.0, ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.52, ""TAG"": ""l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_5137e93f""}",runs/designs/noc/l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper/work/6819c5d8/result.json
l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper,nangate45,712b7eb0e34c,24a0127f,l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_9d2242d8,ok,0.4062,54400.8976,0.0174,"{""CLOCK_PERIOD"": 1.5, ""CORE_UTILIZATION"": 40, ""PLACE_DENSITY"": 0.52, ""TAG"": ""l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_9d2242d8""}",runs/designs/noc/l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper/work/24a0127f/result.json
l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper,nangate45,712b7eb0e34c,f2b50a0a,l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_5e539e1b,ok,0.4016,43607.880625,0.0173,"{""CLOCK_PERIOD"": 1.5, ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.52, ""TAG"": ""l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_5e539e1b""}",runs/designs/noc/l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper/work/f2b50a0a/result.json
l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper,nangate45,712b7eb0e34c,1dbda127,l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_bd377f69,ok,0.3913,36406.548025,0.0172,"{""CLOCK_PERIOD"": 1.5, ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.52, ""TAG"": ""l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_bd377f69""}",runs/designs/noc/l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper/work/1dbda127/result.json
l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper,nangate45,712b7eb0e34c,6f34256c,l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_b5227391,ok,0.4026,54400.8976,0.0127,"{""CLOCK_PERIOD"": 2.0, ""CORE_UTILIZATION"": 40, ""PLACE_DENSITY"": 0.52, ""TAG"": ""l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_b5227391""}",runs/designs/noc/l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper/work/6f34256c/result.json
l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper,nangate45,712b7eb0e34c,3fd1ecdd,l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_d69b942d,ok,0.3945,43607.880625,0.0126,"{""CLOCK_PERIOD"": 2.0, ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.52, ""TAG"": ""l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_d69b942d""}",runs/designs/noc/l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper/work/3fd1ecdd/result.json
l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper,nangate45,712b7eb0e34c,e4d80f55,l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_87c8a58f,ok,0.3914,36406.548025,0.0125,"{""CLOCK_PERIOD"": 2.0, ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.52, ""TAG"": ""l1_attention_score32_exact_matched_codec_nangate45_macro_frontier_87c8a58f""}",runs/designs/noc/l1_attention_score32_exact_matched_aligned_codec_w419_f256_wrapper/work/e4d80f55/result.json
