design,platform,config_hash,param_hash,tag,status,critical_path_ns,die_area,total_power_mw,params_json,result_path
logit_rank_r128_l16_k1_wrapper,nangate45,0c7bbd84440f,87f21ce3,logit_rank_scale_nangate45_r128_k1_pinbound_below_540,ok,60.216,291600.0,3.72,"{""CLOCK_PERIOD"": 2.5, ""CORE_AREA"": ""20 20 520 520"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 540 540"", ""IO_PLACER_H"": ""metal3 metal5"", ""IO_PLACER_V"": ""metal4 metal6"", ""PLACE_DENSITY"": 0.68, ""PLACE_PINS_ARGS"": ""-min_distance 1"", ""SYNTH_MEMORY_MAX_BITS"": 32768, ""TAG"": ""logit_rank_scale_nangate45_r128_k1_pinbound_below_540""}",runs/designs/activations/logit_rank_r128_l16_k1_wrapper/work/87f21ce3/result.json
logit_rank_r128_l16_k1_wrapper,nangate45,0c7bbd84440f,c847f305,logit_rank_scale_nangate45_r128_k1_pinbound_min_581,ok,60.1177,337561.0,3.69,"{""CLOCK_PERIOD"": 2.5, ""CORE_AREA"": ""20 20 561 561"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 581 581"", ""IO_PLACER_H"": ""metal3 metal5"", ""IO_PLACER_V"": ""metal4 metal6"", ""PLACE_DENSITY"": 0.68, ""PLACE_PINS_ARGS"": ""-min_distance 1"", ""SYNTH_MEMORY_MAX_BITS"": 32768, ""TAG"": ""logit_rank_scale_nangate45_r128_k1_pinbound_min_581""}",runs/designs/activations/logit_rank_r128_l16_k1_wrapper/work/c847f305/result.json
logit_rank_r128_l16_k1_wrapper,nangate45,0c7bbd84440f,2b772f4a,logit_rank_scale_nangate45_r128_k1_pinbound_margin_640,ok,60.0249,409600.0,3.77,"{""CLOCK_PERIOD"": 2.5, ""CORE_AREA"": ""20 20 620 620"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 640 640"", ""IO_PLACER_H"": ""metal3 metal5"", ""IO_PLACER_V"": ""metal4 metal6"", ""PLACE_DENSITY"": 0.68, ""PLACE_PINS_ARGS"": ""-min_distance 1"", ""SYNTH_MEMORY_MAX_BITS"": 32768, ""TAG"": ""logit_rank_scale_nangate45_r128_k1_pinbound_margin_640""}",runs/designs/activations/logit_rank_r128_l16_k1_wrapper/work/2b772f4a/result.json
