design,platform,config_hash,param_hash,tag,status,critical_path_ns,die_area,total_power_mw,params_json,result_path
terminal_sigmoid_int8_pwl_seedvariance2_wrapper,nangate45,7fe0fbb5075b,2bc0a9c4,terminal_sigmoid_int8_pwl_ng45_v1_1462788a,ok,0.1899,25600.0,8.46e-05,"{""CLOCK_PERIOD"": 4.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 103, ""PLACE_DENSITY"": 0.35, ""TAG"": ""terminal_sigmoid_int8_pwl_ng45_v1_1462788a""}",runs/designs/activations/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/trials/trial_003/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/work/2bc0a9c4/result.json
terminal_sigmoid_int8_pwl_seedvariance2_wrapper,nangate45,7fe0fbb5075b,05e7811b,terminal_sigmoid_int8_pwl_ng45_v1_2087afed,ok,0.1914,25600.0,8.42e-05,"{""CLOCK_PERIOD"": 4.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 103, ""PLACE_DENSITY"": 0.45, ""TAG"": ""terminal_sigmoid_int8_pwl_ng45_v1_2087afed""}",runs/designs/activations/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/trials/trial_003/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/work/05e7811b/result.json
terminal_sigmoid_int8_pwl_seedvariance2_wrapper,nangate45,7fe0fbb5075b,7beb59f2,terminal_sigmoid_int8_pwl_ng45_v1_93aaca07,ok,0.1899,25600.0,5.84e-05,"{""CLOCK_PERIOD"": 6.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 103, ""PLACE_DENSITY"": 0.35, ""TAG"": ""terminal_sigmoid_int8_pwl_ng45_v1_93aaca07""}",runs/designs/activations/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/trials/trial_003/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/work/7beb59f2/result.json
terminal_sigmoid_int8_pwl_seedvariance2_wrapper,nangate45,7fe0fbb5075b,ee0a576e,terminal_sigmoid_int8_pwl_ng45_v1_02570f64,ok,0.1914,25600.0,5.81e-05,"{""CLOCK_PERIOD"": 6.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 103, ""PLACE_DENSITY"": 0.45, ""TAG"": ""terminal_sigmoid_int8_pwl_ng45_v1_02570f64""}",runs/designs/activations/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/trials/trial_003/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/work/ee0a576e/result.json
