design,platform,config_hash,param_hash,tag,status,critical_path_ns,die_area,total_power_mw,instance_area_um2,stdcell_area_um2,stdcell_count,core_area_um2,utilization_pct,flow_elapsed_seconds,stage_elapsed_seconds,params_json,result_path,work_result_json,failure_stage,failure_returncode,failure_signature,failure_log_path,synth_script_path,synth_script_sha1,fsm_encfile_path,fsm_encfile_sha1,fsm_encfile_sha256,fsm_encoding_json
attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8,nangate45,2ff1b01b22d1,6a375b03,attention_score32_local_temporal_reducer_gqa8_physical_harness_boundary_noshare_v1_r2_6a375b03,flow_failed,,,,,,,4161600.0,,69.01,,"{""CLOCK_PERIOD"": 8.0, ""CORE_AREA"": ""80 80 2120 2120"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 2200 2200"", ""PLACE_DENSITY"": 0.35, ""SYNTH_ARGS"": ""-noshare"", ""SYNTH_HIERARCHICAL"": 1, ""tag_prefix"": ""attention_score32_local_temporal_reducer_gqa8_physical_harness_boundary_noshare_v1_r2""}",/orfs/flow/logs/nangate45/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/base,runs/designs/npu_blocks/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/work/6a375b03/result.json,synth,2,Error: Synthesized memory size 4096 exceeds SYNTH_MEMORY_MAX_BITS,/orfs/flow/logs/nangate45/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/base/1_2_yosys.log,/tmp/rtlcp-worktree-bq5hppkb/repo/runs/designs/npu_blocks/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/work/6a375b03/synth_preserve_blackbox.tcl,8bbdd7639e85fd17465f1e8aa0eda024cf8fe5c9,,,,
attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8,nangate45,2ff1b01b22d1,98397138,attention_score32_local_temporal_reducer_gqa8_physical_harness_boundary_noshare_v1_r2_98397138,flow_failed,,,,,,,4161600.0,,73.47,,"{""CLOCK_PERIOD"": 10.0, ""CORE_AREA"": ""80 80 2120 2120"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 2200 2200"", ""PLACE_DENSITY"": 0.35, ""SYNTH_ARGS"": ""-noshare"", ""SYNTH_HIERARCHICAL"": 1, ""tag_prefix"": ""attention_score32_local_temporal_reducer_gqa8_physical_harness_boundary_noshare_v1_r2""}",/orfs/flow/logs/nangate45/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/base,runs/designs/npu_blocks/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/work/98397138/result.json,synth,2,Error: Synthesized memory size 4096 exceeds SYNTH_MEMORY_MAX_BITS,/orfs/flow/logs/nangate45/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/base/1_2_yosys.log,/tmp/rtlcp-worktree-bq5hppkb/repo/runs/designs/npu_blocks/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/work/98397138/synth_preserve_blackbox.tcl,8bbdd7639e85fd17465f1e8aa0eda024cf8fe5c9,,,,
attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8,nangate45,2ff1b01b22d1,7a59c40a,attention_score32_local_temporal_reducer_gqa8_physical_harness_boundary_noshare_memguard_v1_r3_7a59c40a,flow_failed,,,,,,,4161600.0,,68.60000000000001,,"{""CLOCK_PERIOD"": 8.0, ""CORE_AREA"": ""80 80 2120 2120"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 2200 2200"", ""PLACE_DENSITY"": 0.35, ""SYNTH_ARGS"": ""-noshare"", ""SYNTH_HIERARCHICAL"": 1, ""SYNTH_MEMORY_MAX_BITS"": 65536, ""tag_prefix"": ""attention_score32_local_temporal_reducer_gqa8_physical_harness_boundary_noshare_memguard_v1_r3""}",/orfs/flow/logs/nangate45/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/base,runs/designs/npu_blocks/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/work/7a59c40a/result.json,synth,2,Error: Synthesized memory size 65536 exceeds SYNTH_MEMORY_MAX_BITS,/orfs/flow/logs/nangate45/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/base/1_2_yosys.log,/tmp/rtlcp-worktree-_xfn5er3/repo/runs/designs/npu_blocks/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/work/7a59c40a/synth_preserve_blackbox.tcl,8bbdd7639e85fd17465f1e8aa0eda024cf8fe5c9,,,,
attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8,nangate45,2ff1b01b22d1,ef5cc20f,attention_score32_local_temporal_reducer_gqa8_physical_harness_boundary_noshare_memguard_v1_r3_ef5cc20f,flow_failed,,,,,,,4161600.0,,67.82,,"{""CLOCK_PERIOD"": 10.0, ""CORE_AREA"": ""80 80 2120 2120"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 2200 2200"", ""PLACE_DENSITY"": 0.35, ""SYNTH_ARGS"": ""-noshare"", ""SYNTH_HIERARCHICAL"": 1, ""SYNTH_MEMORY_MAX_BITS"": 65536, ""tag_prefix"": ""attention_score32_local_temporal_reducer_gqa8_physical_harness_boundary_noshare_memguard_v1_r3""}",/orfs/flow/logs/nangate45/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/base,runs/designs/npu_blocks/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/work/ef5cc20f/result.json,synth,2,Error: Synthesized memory size 65536 exceeds SYNTH_MEMORY_MAX_BITS,/orfs/flow/logs/nangate45/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/base/1_2_yosys.log,/tmp/rtlcp-worktree-_xfn5er3/repo/runs/designs/npu_blocks/attention_score32_exact_local_temporal_reducer_gqa8_physical_harness_p54_reducer_w8/work/ef5cc20f/synth_preserve_blackbox.tcl,8bbdd7639e85fd17465f1e8aa0eda024cf8fe5c9,,,,
