design,ppg,cpa,status,critical_path_ns,die_area,total_power_mw,result_path
mult16s_booth4_brentkung_wrapper,booth4,brentkung,ok,0.2141,17650.451025,0.00216,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_booth4_brentkung_wrapper/work/f0e19867/result.json
mult16s_booth4_koggestone_wrapper,booth4,koggestone,ok,0.2178,19061.944225,0.00333,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_booth4_koggestone_wrapper/work/f0e19867/result.json
mult16s_booth4_ripple_wrapper,booth4,ripple,ok,2.4681,18573.601225,0.00196,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_booth4_ripple_wrapper/work/f0e19867/result.json
mult16s_booth4_sklansky_wrapper,booth4,sklansky,ok,0.2169,18090.25,0.00278,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_booth4_sklansky_wrapper/work/f0e19867/result.json
mult16s_normal_brentkung_wrapper,normal,brentkung,ok,0.2129,18254.7121,0.00244,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_normal_brentkung_wrapper/work/f0e19867/result.json
mult16s_normal_koggestone_wrapper,normal,koggestone,ok,0.2199,20282.032225,0.00431,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_normal_koggestone_wrapper/work/f0e19867/result.json
mult16s_normal_ripple_wrapper,normal,ripple,ok,2.5324,18773.110225,0.0022,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_normal_ripple_wrapper/work/f0e19867/result.json
mult16s_normal_sklansky_wrapper,normal,sklansky,ok,0.2179,18910.375225,0.00334,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_normal_sklansky_wrapper/work/f0e19867/result.json
