design,ppg,cpa,status,critical_path_ns,die_area,total_power_mw,result_path
mult16s_booth4_brentkung_wrapper,booth4,brentkung,ok,9.2357,84451.266025,0.00524,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_booth4_brentkung_wrapper/work/c8477abb/result.json
mult16s_booth4_koggestone_wrapper,booth4,koggestone,ok,5.8559,91101.3489,0.00672,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_booth4_koggestone_wrapper/work/c8477abb/result.json
mult16s_booth4_ripple_wrapper,booth4,ripple,ok,10.7942,86465.4025,0.00423,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_booth4_ripple_wrapper/work/c8477abb/result.json
mult16s_booth4_sklansky_wrapper,booth4,sklansky,ok,5.7943,86718.4704,0.00554,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_booth4_sklansky_wrapper/work/c8477abb/result.json
mult16s_normal_brentkung_wrapper,normal,brentkung,ok,9.8921,87045.651225,0.00542,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_normal_brentkung_wrapper/work/c8477abb/result.json
mult16s_normal_koggestone_wrapper,normal,koggestone,ok,5.9938,92021.2225,0.0074,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_normal_koggestone_wrapper/work/c8477abb/result.json
mult16s_normal_ripple_wrapper,normal,ripple,ok,11.4903,85684.9984,0.00446,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_normal_ripple_wrapper/work/c8477abb/result.json
mult16s_normal_sklansky_wrapper,normal,sklansky,ok,6.0654,89161.96,0.00607,/workspaces/RTLGen/runs/multipliers/ppg_cpa_16b_signed/mult16s_normal_sklansky_wrapper/work/c8477abb/result.json
