design,platform,config_hash,param_hash,tag,status,critical_path_ns,die_area,total_power_mw,params_json,result_path
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,0e4ee98e,softmax_rowwise_ng45_v1_3fdeb544,ok,20.4557,176005.4209,1.45,"{""CLOCK_PERIOD"": 4.0, ""CORE_UTILIZATION"": 30, ""FLOW_RANDOM_SEED"": 104, ""PLACE_DENSITY"": 0.45, ""TAG"": ""softmax_rowwise_ng45_v1_3fdeb544""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_004/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/0e4ee98e/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,5a404af3,softmax_rowwise_ng45_v1_01d0b869,ok,20.2885,176005.4209,1.46,"{""CLOCK_PERIOD"": 4.0, ""CORE_UTILIZATION"": 30, ""FLOW_RANDOM_SEED"": 104, ""PLACE_DENSITY"": 0.6, ""TAG"": ""softmax_rowwise_ng45_v1_01d0b869""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_004/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/5a404af3/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,e2f1df1c,softmax_rowwise_ng45_v1_9f275f7c,ok,20.4638,105898.1764,1.46,"{""CLOCK_PERIOD"": 4.0, ""CORE_UTILIZATION"": 50, ""FLOW_RANDOM_SEED"": 104, ""PLACE_DENSITY"": 0.45, ""TAG"": ""softmax_rowwise_ng45_v1_9f275f7c""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_004/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/e2f1df1c/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,7f543322,softmax_rowwise_ng45_v1_1c64dade,ok,20.2893,105898.1764,1.45,"{""CLOCK_PERIOD"": 4.0, ""CORE_UTILIZATION"": 50, ""FLOW_RANDOM_SEED"": 104, ""PLACE_DENSITY"": 0.6, ""TAG"": ""softmax_rowwise_ng45_v1_1c64dade""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_004/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/7f543322/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,488a7d9b,softmax_rowwise_ng45_v1_92e6e8aa,ok,20.4853,176005.4209,1.1,"{""CLOCK_PERIOD"": 6.0, ""CORE_UTILIZATION"": 30, ""FLOW_RANDOM_SEED"": 104, ""PLACE_DENSITY"": 0.45, ""TAG"": ""softmax_rowwise_ng45_v1_92e6e8aa""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_004/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/488a7d9b/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,9dab6589,softmax_rowwise_ng45_v1_6e3a6bba,ok,20.17,176005.4209,1.12,"{""CLOCK_PERIOD"": 6.0, ""CORE_UTILIZATION"": 30, ""FLOW_RANDOM_SEED"": 104, ""PLACE_DENSITY"": 0.6, ""TAG"": ""softmax_rowwise_ng45_v1_6e3a6bba""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_004/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/9dab6589/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,e9ff3309,softmax_rowwise_ng45_v1_b2e30990,ok,20.2628,105898.1764,1.1,"{""CLOCK_PERIOD"": 6.0, ""CORE_UTILIZATION"": 50, ""FLOW_RANDOM_SEED"": 104, ""PLACE_DENSITY"": 0.45, ""TAG"": ""softmax_rowwise_ng45_v1_b2e30990""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_004/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/e9ff3309/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,527c5d94,softmax_rowwise_ng45_v1_be42fd01,ok,20.3003,105898.1764,1.1,"{""CLOCK_PERIOD"": 6.0, ""CORE_UTILIZATION"": 50, ""FLOW_RANDOM_SEED"": 104, ""PLACE_DENSITY"": 0.6, ""TAG"": ""softmax_rowwise_ng45_v1_be42fd01""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_004/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/527c5d94/result.json
