design,platform,config_hash,param_hash,tag,status,critical_path_ns,die_area,total_power_mw,params_json,result_path
terminal_sigmoid_int8_pwl_seedvariance2_wrapper,nangate45,7fe0fbb5075b,dbf010a5,terminal_sigmoid_int8_pwl_ng45_v1_d4f6a456,ok,0.1898,25600.0,8.45e-05,"{""CLOCK_PERIOD"": 4.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 102, ""PLACE_DENSITY"": 0.35, ""TAG"": ""terminal_sigmoid_int8_pwl_ng45_v1_d4f6a456""}",runs/designs/activations/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/trials/trial_002/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/work/dbf010a5/result.json
terminal_sigmoid_int8_pwl_seedvariance2_wrapper,nangate45,7fe0fbb5075b,ca9df995,terminal_sigmoid_int8_pwl_ng45_v1_8c6e5aee,ok,0.1914,25600.0,8.46e-05,"{""CLOCK_PERIOD"": 4.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 102, ""PLACE_DENSITY"": 0.45, ""TAG"": ""terminal_sigmoid_int8_pwl_ng45_v1_8c6e5aee""}",runs/designs/activations/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/trials/trial_002/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/work/ca9df995/result.json
terminal_sigmoid_int8_pwl_seedvariance2_wrapper,nangate45,7fe0fbb5075b,cc374c23,terminal_sigmoid_int8_pwl_ng45_v1_34159bbb,ok,0.1898,25600.0,5.83e-05,"{""CLOCK_PERIOD"": 6.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 102, ""PLACE_DENSITY"": 0.35, ""TAG"": ""terminal_sigmoid_int8_pwl_ng45_v1_34159bbb""}",runs/designs/activations/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/trials/trial_002/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/work/cc374c23/result.json
terminal_sigmoid_int8_pwl_seedvariance2_wrapper,nangate45,7fe0fbb5075b,2152ae53,terminal_sigmoid_int8_pwl_ng45_v1_14105797,ok,0.1914,25600.0,5.84e-05,"{""CLOCK_PERIOD"": 6.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 102, ""PLACE_DENSITY"": 0.45, ""TAG"": ""terminal_sigmoid_int8_pwl_ng45_v1_14105797""}",runs/designs/activations/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/trials/trial_002/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/work/2152ae53/result.json
