design,platform,total_power_mw,core_util,place_density,clock_period,die_area,critical_path_ns,result_path,tag
yosys_mult8s_lowpowerbooth_wrapper,nangate45,0.000498,50.0,0.68,2.5,1174.090225,0.1765,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult8s_lowpowerbooth_wrapper/work/c6c6255b/result.json,yosys_mult_w4_32_nangate45_highutil_87b48795
yosys_mult8u_booth_wrapper,nangate45,0.000438,50.0,0.68,2.5,1164.1744,0.1772,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult8u_booth_wrapper/work/c6c6255b/result.json,yosys_mult_w4_32_nangate45_highutil_87b48795
yosys_mult16s_booth_wrapper,sky130hd,0.0116,40.0,0.65,6.0,26420.877025,6.2475,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult16s_booth_wrapper/work/6d553c50/result.json,yosys_mult_w4_32_sky130hd_highutil_8de86181
yosys_mult16s_lowpowerbooth_wrapper,sky130hd,0.018,50.0,0.65,6.0,17269.902225,15.2758,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult16s_lowpowerbooth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult16u_booth_wrapper,sky130hd,0.00681,50.0,0.65,6.0,18542.2689,6.0128,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult16u_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult32s_booth_wrapper,sky130hd,0.131,40.0,0.65,6.0,92951.8144,8.4176,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult32s_booth_wrapper/work/6d553c50/result.json,yosys_mult_w4_32_sky130hd_highutil_8de86181
yosys_mult32s_lowpowerbooth_wrapper,sky130hd,0.251,40.0,0.65,6.0,72546.729025,31.1219,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult32s_lowpowerbooth_wrapper/work/6d553c50/result.json,yosys_mult_w4_32_sky130hd_highutil_8de86181
yosys_mult32u_booth_wrapper,sky130hd,0.0774,40.0,0.65,6.0,85931.0596,7.763,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult32u_booth_wrapper/work/6d553c50/result.json,yosys_mult_w4_32_sky130hd_highutil_8de86181
yosys_mult4s_booth_wrapper,sky130hd,0.000361,50.0,0.65,6.0,1744.7329,1.3898,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult4s_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult4s_lowpowerbooth_wrapper,sky130hd,0.000331,50.0,0.65,6.0,1665.4561,4.1105,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult4s_lowpowerbooth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult4u_booth_wrapper,sky130hd,0.000262,50.0,0.65,6.0,1483.7904,1.3807,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult4u_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult8s_booth_wrapper,sky130hd,0.00143,50.0,0.65,6.0,6255.2281,5.0099,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult8s_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult8s_lowpowerbooth_wrapper,sky130hd,0.00119,50.0,0.65,6.0,5276.5696,7.2131,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult8s_lowpowerbooth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult8u_booth_wrapper,sky130hd,0.00108,50.0,0.65,6.0,5121.549225,4.5577,/workspaces/RTLGen/runs/multipliers/yosys_booth_widths_4_32/yosys_mult8u_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
