design,platform,core_util,place_density,clock_period,die_area,critical_path_ns,total_power_mw,result_path,tag
yosys_mult8u_booth_wrapper,nangate45,60.0,0.68,2.5,980.9424,0.179,0.000444,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8u_booth_wrapper/work/2b9cbee2/result.json,yosys_mult_w4_32_nangate45_highutil_da64be35
yosys_mult16s_booth_wrapper,sky130hd,50.0,0.65,6.0,21197.904025,6.3952,0.0118,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16s_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult16s_lowpowerbooth_wrapper,sky130hd,50.0,0.65,6.0,17269.902225,15.2758,0.018,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16s_lowpowerbooth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult16u_booth_wrapper,sky130hd,50.0,0.65,6.0,18542.2689,6.0128,0.00681,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16u_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult32s_booth_wrapper,sky130hd,50.0,0.65,6.0,74477.139025,8.4081,0.136,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32s_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult32s_lowpowerbooth_wrapper,sky130hd,50.0,0.65,6.0,58141.265625,30.9925,0.253,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32s_lowpowerbooth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult32u_booth_wrapper,sky130hd,50.0,0.65,6.0,68856.384025,7.7569,0.0781,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32u_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult4s_booth_wrapper,sky130hd,50.0,0.65,6.0,1744.7329,1.3898,0.000361,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4s_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult4s_lowpowerbooth_wrapper,sky130hd,50.0,0.65,6.0,1665.4561,4.1105,0.000331,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4s_lowpowerbooth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult4u_booth_wrapper,sky130hd,50.0,0.65,6.0,1483.7904,1.3807,0.000262,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4u_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult8s_booth_wrapper,sky130hd,50.0,0.65,6.0,6255.2281,5.0099,0.00143,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8s_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult8s_lowpowerbooth_wrapper,sky130hd,50.0,0.65,6.0,5276.5696,7.2131,0.00119,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8s_lowpowerbooth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult8u_booth_wrapper,sky130hd,50.0,0.65,6.0,5121.549225,4.5577,0.00108,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8u_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
