design,platform,critical_path_ns,core_util,place_density,clock_period,die_area,total_power_mw,result_path,tag
yosys_mult16s_booth_wrapper,sky130hd,6.2475,40.0,0.65,6.0,26420.877025,0.0116,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16s_booth_wrapper/work/6d553c50/result.json,yosys_mult_w4_32_sky130hd_highutil_8de86181
yosys_mult16s_lowpowerbooth_wrapper,sky130hd,15.0119,10.0,0.55,6.0,84905.218225,0.0188,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16s_lowpowerbooth_wrapper/work/5961de73/result.json,yosys_mult_w4_32_sky130hd_70e18859
yosys_mult16u_booth_wrapper,sky130hd,5.9922,40.0,0.65,6.0,23107.0401,0.00689,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult16u_booth_wrapper/work/6d553c50/result.json,yosys_mult_w4_32_sky130hd_highutil_8de86181
yosys_mult32s_booth_wrapper,sky130hd,8.4081,50.0,0.65,6.0,74477.139025,0.136,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32s_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult32s_lowpowerbooth_wrapper,sky130hd,30.9925,50.0,0.65,6.0,58141.265625,0.253,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32s_lowpowerbooth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult32u_booth_wrapper,sky130hd,7.7569,50.0,0.65,6.0,68856.384025,0.0781,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult32u_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult4s_booth_wrapper,sky130hd,1.3709,10.0,0.55,6.0,8267.355625,0.00039,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4s_booth_wrapper/work/5961de73/result.json,yosys_mult_w4_32_sky130hd_70e18859
yosys_mult4s_lowpowerbooth_wrapper,sky130hd,3.9866,10.0,0.55,6.0,7883.6641,0.000357,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4s_lowpowerbooth_wrapper/work/5961de73/result.json,yosys_mult_w4_32_sky130hd_70e18859
yosys_mult4u_booth_wrapper,sky130hd,1.3635,10.0,0.55,6.0,6999.832225,0.000294,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult4u_booth_wrapper/work/5961de73/result.json,yosys_mult_w4_32_sky130hd_70e18859
yosys_mult8s_booth_wrapper,sky130hd,5.0099,50.0,0.65,6.0,6255.2281,0.00143,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8s_booth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult8s_lowpowerbooth_wrapper,sky130hd,7.2131,50.0,0.65,6.0,5276.5696,0.00119,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8s_lowpowerbooth_wrapper/work/c09c4479/result.json,yosys_mult_w4_32_sky130hd_highutil_8c56d3b0
yosys_mult8u_booth_wrapper,sky130hd,4.5254,40.0,0.65,6.0,6364.8484,0.0011,/workspaces/RTLGen/runs/designs/multipliers/yosys_mult8u_booth_wrapper/work/6d553c50/result.json,yosys_mult_w4_32_sky130hd_highutil_8de86181
