design,platform,config_hash,param_hash,tag,status,critical_path_ns,die_area,total_power_mw,params_json,result_path
terminal_hardswish_int8_pwl_seedvariance_wrapper,nangate45,79e63459ce07,96d8b649,terminal_hardswish_int8_pwl_ng45_v1_857ab0d7,ok,0.1953,25600.0,0.000325,"{""CLOCK_PERIOD"": 4.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 104, ""PLACE_DENSITY"": 0.35, ""TAG"": ""terminal_hardswish_int8_pwl_ng45_v1_857ab0d7""}",runs/designs/activations/terminal_hardswish_int8_pwl_seedvariance_wrapper/trials/trial_004/terminal_hardswish_int8_pwl_seedvariance_wrapper/work/96d8b649/result.json
terminal_hardswish_int8_pwl_seedvariance_wrapper,nangate45,79e63459ce07,40565087,terminal_hardswish_int8_pwl_ng45_v1_794bf819,ok,0.2015,25600.0,0.000328,"{""CLOCK_PERIOD"": 4.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 104, ""PLACE_DENSITY"": 0.45, ""TAG"": ""terminal_hardswish_int8_pwl_ng45_v1_794bf819""}",runs/designs/activations/terminal_hardswish_int8_pwl_seedvariance_wrapper/trials/trial_004/terminal_hardswish_int8_pwl_seedvariance_wrapper/work/40565087/result.json
terminal_hardswish_int8_pwl_seedvariance_wrapper,nangate45,79e63459ce07,4ed8d648,terminal_hardswish_int8_pwl_ng45_v1_ef28e336,ok,0.1955,25600.0,0.000223,"{""CLOCK_PERIOD"": 6.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 104, ""PLACE_DENSITY"": 0.35, ""TAG"": ""terminal_hardswish_int8_pwl_ng45_v1_ef28e336""}",runs/designs/activations/terminal_hardswish_int8_pwl_seedvariance_wrapper/trials/trial_004/terminal_hardswish_int8_pwl_seedvariance_wrapper/work/4ed8d648/result.json
terminal_hardswish_int8_pwl_seedvariance_wrapper,nangate45,79e63459ce07,65bdf517,terminal_hardswish_int8_pwl_ng45_v1_66ce40a8,ok,0.2012,25600.0,0.000224,"{""CLOCK_PERIOD"": 6.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 104, ""PLACE_DENSITY"": 0.45, ""TAG"": ""terminal_hardswish_int8_pwl_ng45_v1_66ce40a8""}",runs/designs/activations/terminal_hardswish_int8_pwl_seedvariance_wrapper/trials/trial_004/terminal_hardswish_int8_pwl_seedvariance_wrapper/work/65bdf517/result.json
