circuit_type,design,platform,status,critical_path_ns,die_area,total_power_mw,config_hash,param_hash,tag,result_path,params_json,metrics_path,design_path
multipliers,mult16s_booth4_koggestone_wrapper,sky130hd,ok,5.809,23078.167225,0.00661,f5e751767fc8,4c404a8c,mult_ppg_cpa_w4_32_sky130hd_highutil_8de86181," ""CORE_UTILIZATION"": 40",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper
multipliers,mult16s_booth4_koggestone_wrapper,sky130hd,ok,5.8559,91101.3489,0.00672,f5e751767fc8,b1b86ede,mult_ppg_cpa_w4_32_sky130_70e18859," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper
multipliers,mult16s_booth4_koggestone_wrapper,sky130hd,ok,5.9629,18520.4881,0.0065,f5e751767fc8,ee6c4432,mult_ppg_cpa_w4_32_sky130hd_highutil_8c56d3b0," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper
multipliers,mult16s_booth4_ripple_wrapper,asap7,ok,1.1158534999999998,257.6025,0.257,48bf105e9c7b,a3bdd812,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper
multipliers,mult16s_booth4_ripple_wrapper,asap7,ok,1.1225488000000001,1326.125056,0.273,48bf105e9c7b,b727aa3a,mult_ppg_cpa_w4_32_asap7_3b70c61f," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper
multipliers,mult16s_booth4_ripple_wrapper,asap7,ok,1.11642,302.446881,0.254,48bf105e9c7b,c7de4936,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper
multipliers,mult16s_booth4_ripple_wrapper,nangate45,ok,2.4681,18573.601225,0.00196,48bf105e9c7b,231d5c19,mult_ppg_cpa_w4_32_nangate45_40523b9d," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper
multipliers,mult16s_booth4_ripple_wrapper,nangate45,ok,2.4768,3850.823025,0.00191,48bf105e9c7b,39ca4667,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper
multipliers,mult16s_booth4_ripple_wrapper,nangate45,ok,2.4849,3228.5124,0.00192,48bf105e9c7b,84032167,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper
multipliers,mult16s_booth4_ripple_wrapper,sky130hd,ok,10.7637,21911.400625,0.00413,48bf105e9c7b,4c404a8c,mult_ppg_cpa_w4_32_sky130hd_highutil_8de86181," ""CORE_UTILIZATION"": 40",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper
multipliers,mult16s_booth4_ripple_wrapper,sky130hd,ok,10.7942,86465.4025,0.00423,48bf105e9c7b,b1b86ede,mult_ppg_cpa_w4_32_sky130_70e18859," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper
multipliers,mult16s_booth4_ripple_wrapper,sky130hd,ok,10.7916,17585.4121,0.00392,48bf105e9c7b,ee6c4432,mult_ppg_cpa_w4_32_sky130hd_highutil_8c56d3b0," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper
multipliers,mult16s_booth4_sklansky_wrapper,asap7,ok,0.6595488,274.134249,0.258,c2cdd8524fc7,a3bdd812,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper
