design,width,signed,ppg,cpa,status,critical_path_ns,die_area,total_power_mw,result_path
mult8s_normal_ripple_wrapper,8,True,normal,ripple,ok,0.1828,5156.6761,0.000389,/workspaces/RTLGen/runs/designs/multipliers/mult8s_normal_ripple_wrapper/work/231d5c19/result.json
mult8s_normal_sklansky_wrapper,8,True,normal,sklansky,ok,0.1866,5566.6521,0.000524,/workspaces/RTLGen/runs/designs/multipliers/mult8s_normal_sklansky_wrapper/work/231d5c19/result.json
mult16u_booth4_brentkung_wrapper,16,False,booth4,brentkung,ok,2.4107,18907.625025,0.00253,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_brentkung_wrapper/work/231d5c19/result.json
mult16u_booth4_koggestone_wrapper,16,False,booth4,koggestone,ok,0.2159,20095.8976,0.00371,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_koggestone_wrapper/work/231d5c19/result.json
mult16u_booth4_ripple_wrapper,16,False,booth4,ripple,ok,2.6116,20149.8025,0.00225,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_ripple_wrapper/work/231d5c19/result.json
mult16u_booth4_sklansky_wrapper,16,False,booth4,sklansky,ok,0.2158,19415.6356,0.00342,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_sklansky_wrapper/work/231d5c19/result.json
mult16u_normal_brentkung_wrapper,16,False,normal,brentkung,ok,2.3112,18203.4064,0.00252,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_brentkung_wrapper/work/231d5c19/result.json
mult16u_normal_koggestone_wrapper,16,False,normal,koggestone,ok,0.2164,20144.1249,0.00387,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_koggestone_wrapper/work/231d5c19/result.json
mult16u_normal_ripple_wrapper,16,False,normal,ripple,ok,2.5578,18579.053025,0.00214,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_ripple_wrapper/work/231d5c19/result.json
mult16u_normal_sklansky_wrapper,16,False,normal,sklansky,ok,0.2234,19169.787025,0.00345,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_sklansky_wrapper/work/231d5c19/result.json
mult16s_booth4_brentkung_wrapper,16,True,booth4,brentkung,ok,0.2141,17650.451025,0.00216,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/work/231d5c19/result.json
mult16s_booth4_koggestone_wrapper,16,True,booth4,koggestone,ok,0.2178,19061.944225,0.00333,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/work/231d5c19/result.json
mult16s_booth4_ripple_wrapper,16,True,booth4,ripple,ok,2.4681,18573.601225,0.00196,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/work/231d5c19/result.json
mult16s_booth4_sklansky_wrapper,16,True,booth4,sklansky,ok,0.2169,18090.25,0.00278,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/work/231d5c19/result.json
mult16s_normal_brentkung_wrapper,16,True,normal,brentkung,ok,0.2129,18254.7121,0.00244,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/work/231d5c19/result.json
mult16s_normal_koggestone_wrapper,16,True,normal,koggestone,ok,0.2199,20282.032225,0.00431,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/work/231d5c19/result.json
