design,platform,total_power_mw,core_util,place_density,clock_period,die_area,critical_path_ns,result_path,tag
mult32s_normal_sklansky_wrapper,asap7,0.748,60.0,0.68,1.0,790.284544,0.8811454,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_booth4_brentkung_wrapper,asap7,0.788,60.0,0.68,1.0,836.308561,1.8194466999999999,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_booth4_koggestone_wrapper,asap7,0.811,50.0,0.68,1.0,1064.651641,0.9140737,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_booth4_ripple_wrapper,asap7,0.677,60.0,0.68,1.0,740.275264,2.2707979,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_booth4_sklansky_wrapper,asap7,0.779,50.0,0.68,1.0,1022.592484,0.9050511,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_normal_brentkung_wrapper,asap7,0.705,60.0,0.68,1.0,766.680721,1.7588419,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_normal_koggestone_wrapper,asap7,0.786,50.0,0.68,1.0,969.948736,0.9026431,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_normal_ripple_wrapper,asap7,0.681,60.0,0.68,1.0,757.790784,2.2102646,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_normal_sklansky_wrapper,asap7,0.763,60.0,0.68,1.0,792.309904,0.8728448,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4s_booth4_brentkung_wrapper,asap7,0.0431,60.0,0.68,1.0,44.435556,0.38358909999999996,/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4s_booth4_koggestone_wrapper,asap7,0.0481,60.0,0.68,1.0,48.038761,0.3426107,/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4s_booth4_ripple_wrapper,asap7,0.0444,60.0,0.68,1.0,42.823936,0.3677852,/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4s_booth4_sklansky_wrapper,asap7,0.0454,50.0,0.68,1.0,52.823824,0.3324187,/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_normal_brentkung_wrapper,asap7,0.0434,50.0,0.68,1.0,41.422096,0.3424164,/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_normal_koggestone_wrapper,asap7,0.0446,60.0,0.68,1.0,38.6884,0.31627710000000003,/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4s_normal_ripple_wrapper,asap7,0.0424,50.0,0.68,1.0,41.254929,0.3407655,/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_normal_sklansky_wrapper,asap7,0.041,60.0,0.68,1.0,37.173409,0.3238331,/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_booth4_brentkung_wrapper,asap7,0.0476,60.0,0.68,1.0,45.468049,0.41113010000000005,/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_booth4_koggestone_wrapper,asap7,0.05,50.0,0.68,1.0,56.070144,0.3369686,/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_booth4_ripple_wrapper,asap7,0.0464,50.0,0.68,1.0,51.051025,0.40694220000000003,/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_booth4_sklansky_wrapper,asap7,0.0456,50.0,0.68,1.0,54.066609,0.3065591,/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_normal_brentkung_wrapper,asap7,0.0394,60.0,0.68,1.0,36.192256,0.2913962,/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
