run_key,attempt,trial_index,seed,status,metrics_csv,critical_path_ns,die_area,total_power_mw,failure_category,failure_stage,failure_signature
l1_prop_l1_softmax_rowwise_int8_r8_acc24_seedvariance_v1_nangate45_r4_run_9fcb02aa1c9a3c59,1,1,101,canceled,,,,,lease_expired,control_plane,lease expired before run completion
l1_prop_l1_softmax_rowwise_int8_r8_acc24_seedvariance_v1_nangate45_r4_run_32e30d38fc6d265a,2,1,101,succeeded,runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_001/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/metrics.csv,20.2756,176005.4209,1.11,none,,
l1_prop_l1_softmax_rowwise_int8_r8_acc24_seedvariance_v1_nangate45_r4_run_93925df90ca9f54b,3,2,102,succeeded,runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_002/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/metrics.csv,20.3443,176005.4209,1.1,none,,
l1_prop_l1_softmax_rowwise_int8_r8_acc24_seedvariance_v1_nangate45_r4_run_337a0ef11d83df57,4,3,103,succeeded,runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_003/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/metrics.csv,20.3465,176005.4209,1.1,none,,
l1_prop_l1_softmax_rowwise_int8_r8_acc24_seedvariance_v1_nangate45_r4_run_36739656bf238afb,5,4,104,succeeded,runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_004/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/metrics.csv,20.17,176005.4209,1.12,none,,
l1_prop_l1_softmax_rowwise_int8_r8_acc24_seedvariance_v1_nangate45_r4_run_ac8338856bfe46e1,6,5,105,succeeded,runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_005/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/metrics.csv,20.4197,176005.4209,1.1,none,,
