design,platform,config_hash,param_hash,tag,status,critical_path_ns,die_area,total_power_mw,instance_area_um2,stdcell_area_um2,stdcell_count,core_area_um2,utilization_pct,flow_elapsed_seconds,stage_elapsed_seconds,params_json,result_path,work_result_json,synth_script_path,synth_script_sha1
npu_fp16_cpp_nm2_cmp,nangate45,07f308423e44,40c9c722,npu_fp16_compute_stability_cmp33_flat_nomacro,ok,5.9162,2250000.0,0.219,571525.0,571525.0,255592.0,1960000.0,29.159438775510203,2931.830000000001,,"{""CLOCK_PERIOD"": 10.0, ""CORE_AREA"": ""50 50 1450 1450"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 1500 1500"", ""FLOW_VARIANT"": ""compute_stability_cmp33_flat_nomacro"", ""PLACE_DENSITY"": 0.4, ""SYNTH_HIERARCHICAL"": 0, ""SYNTH_KEEP_MODULES"": """", ""TAG"": ""npu_fp16_compute_stability_cmp33_flat_nomacro"", ""tag_prefix"": ""npu_fp16_compute_stability""}",/orfs/flow/reports/nangate45/npu_fp16_cpp_nm2_cmp/compute_stability_cmp33_flat_nomacro/6_finish.rpt,runs/designs/npu_blocks/trials/trial_003/npu_fp16_cpp_nm2_cmp/work/40c9c722/result.json,,
npu_fp16_cpp_nm2_cmp,nangate45,07f308423e44,b0f7e8e4,npu_fp16_compute_stability_cmp33_hier_macro,ok,5.942,2250000.0,0.34,572020.0,572020.0,256204.0,1960000.0,29.18469387755102,2959.56,,"{""CLOCK_PERIOD"": 10.0, ""CORE_AREA"": ""50 50 1450 1450"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 1500 1500"", ""FLOW_VARIANT"": ""compute_stability_cmp33_hier_macro"", ""PLACE_DENSITY"": 0.4, ""SYNTH_HIERARCHICAL"": 1, ""SYNTH_KEEP_MODULES"": ""gemm_compute_array"", ""TAG"": ""npu_fp16_compute_stability_cmp33_hier_macro"", ""tag_prefix"": ""npu_fp16_compute_stability""}",/orfs/flow/reports/nangate45/npu_fp16_cpp_nm2_cmp/compute_stability_cmp33_hier_macro/6_finish.rpt,runs/designs/npu_blocks/trials/trial_003/npu_fp16_cpp_nm2_cmp/work/b0f7e8e4/result.json,,
