design,platform,config_hash,param_hash,tag,status,critical_path_ns,die_area,total_power_mw,params_json,result_path
terminal_sigmoid_int8_pwl_seedvariance2_wrapper,nangate45,7fe0fbb5075b,42226ca6,terminal_sigmoid_int8_pwl_ng45_v1_cb605aa6,ok,0.1906,25600.0,8.47e-05,"{""CLOCK_PERIOD"": 4.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 101, ""PLACE_DENSITY"": 0.35, ""TAG"": ""terminal_sigmoid_int8_pwl_ng45_v1_cb605aa6""}",runs/designs/activations/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/trials/trial_001/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/work/42226ca6/result.json
terminal_sigmoid_int8_pwl_seedvariance2_wrapper,nangate45,7fe0fbb5075b,ad792977,terminal_sigmoid_int8_pwl_ng45_v1_4345a90a,ok,0.191,25600.0,8.46e-05,"{""CLOCK_PERIOD"": 4.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 101, ""PLACE_DENSITY"": 0.45, ""TAG"": ""terminal_sigmoid_int8_pwl_ng45_v1_4345a90a""}",runs/designs/activations/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/trials/trial_001/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/work/ad792977/result.json
terminal_sigmoid_int8_pwl_seedvariance2_wrapper,nangate45,7fe0fbb5075b,13f43157,terminal_sigmoid_int8_pwl_ng45_v1_83e4a387,ok,0.1906,25600.0,5.84e-05,"{""CLOCK_PERIOD"": 6.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 101, ""PLACE_DENSITY"": 0.35, ""TAG"": ""terminal_sigmoid_int8_pwl_ng45_v1_83e4a387""}",runs/designs/activations/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/trials/trial_001/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/work/13f43157/result.json
terminal_sigmoid_int8_pwl_seedvariance2_wrapper,nangate45,7fe0fbb5075b,88916f13,terminal_sigmoid_int8_pwl_ng45_v1_c51186e6,ok,0.191,25600.0,5.83e-05,"{""CLOCK_PERIOD"": 6.0, ""CORE_AREA"": ""20 20 140 140"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 160 160"", ""FLOW_RANDOM_SEED"": 101, ""PLACE_DENSITY"": 0.45, ""TAG"": ""terminal_sigmoid_int8_pwl_ng45_v1_c51186e6""}",runs/designs/activations/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/trials/trial_001/terminal_sigmoid_int8_pwl_seedvariance2_wrapper/work/88916f13/result.json
