run_key,attempt,trial_index,seed,status,metrics_csv,critical_path_ns,die_area,total_power_mw,failure_category,failure_stage,failure_signature
l1_decoder_q12_pwl_recip_norm_datapath_v1_run_7b3f62986446b1e3,1,1,,canceled,,,,,lease_expired,control_plane,lease expired before run completion
l1_decoder_q12_pwl_recip_norm_datapath_v1_run_2f8b597f3d69a406,2,1,0,succeeded,runs/designs/activations/softmax_rowwise_q12_pwl_r8_acc28_recip_q10_bucket8_wrapper/metrics.csv,29.978,313180.140625,15.3,none,,
