design,width,signed,ppg,cpa,status,critical_path_ns,die_area,total_power_mw,result_path
mult4s_booth4_koggestone_wrapper,4,True,booth4,koggestone,ok,1.3639,9890.3025,0.000414,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_booth4_koggestone_wrapper/work/b1b86ede/result.json
mult4s_booth4_ripple_wrapper,4,True,booth4,ripple,ok,4.0242,8625.765625,0.000375,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_booth4_ripple_wrapper/work/b1b86ede/result.json
mult4s_booth4_sklansky_wrapper,4,True,booth4,sklansky,ok,1.3663,9557.995225,0.00039,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_booth4_sklansky_wrapper/work/b1b86ede/result.json
mult4s_normal_brentkung_wrapper,4,True,normal,brentkung,ok,1.3568,7371.081025,0.000355,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_normal_brentkung_wrapper/work/b1b86ede/result.json
mult4s_normal_koggestone_wrapper,4,True,normal,koggestone,ok,1.3691,8074.8196,0.000379,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_normal_koggestone_wrapper/work/b1b86ede/result.json
mult4s_normal_ripple_wrapper,4,True,normal,ripple,ok,1.3617,6935.5584,0.000345,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_normal_ripple_wrapper/work/b1b86ede/result.json
mult4s_normal_sklansky_wrapper,4,True,normal,sklansky,ok,1.358,7704.450625,0.000362,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_normal_sklansky_wrapper/work/b1b86ede/result.json
mult4u_booth4_brentkung_wrapper,4,False,booth4,brentkung,ok,4.1741,9188.181025,0.000424,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_booth4_brentkung_wrapper/work/b1b86ede/result.json
mult4u_booth4_koggestone_wrapper,4,False,booth4,koggestone,ok,1.3712,9557.995225,0.000443,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_booth4_koggestone_wrapper/work/b1b86ede/result.json
mult4u_booth4_ripple_wrapper,4,False,booth4,ripple,ok,4.5143,8740.3801,0.000415,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_booth4_ripple_wrapper/work/b1b86ede/result.json
mult4u_booth4_sklansky_wrapper,4,False,booth4,sklansky,ok,1.3652,9519.9049,0.000421,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_booth4_sklansky_wrapper/work/b1b86ede/result.json
mult4u_normal_brentkung_wrapper,4,False,normal,brentkung,ok,1.3656,7037.5321,0.000305,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_normal_brentkung_wrapper/work/b1b86ede/result.json
mult4u_normal_koggestone_wrapper,4,False,normal,koggestone,ok,1.3648,7972.7041,0.000319,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4u_normal_koggestone_wrapper/work/b1b86ede/result.json
