design,platform,critical_path_ns,core_util,place_density,clock_period,die_area,total_power_mw,result_path,tag
mult32s_normal_koggestone_wrapper,asap7,0.8810175,60.0,0.68,1.0,818.760996,0.802,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_normal_ripple_wrapper,asap7,2.2039436,50.0,0.68,1.0,905.769216,0.656,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_normal_sklansky_wrapper,asap7,0.8687401,50.0,0.68,1.0,936.666025,0.749,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_booth4_brentkung_wrapper,asap7,1.7854238,10.0,0.55,1.0,4615.571844,0.833,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_booth4_brentkung_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult32u_booth4_koggestone_wrapper,asap7,0.8834059999999999,10.0,0.55,1.0,4968.8401,0.933,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_booth4_koggestone_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult32u_booth4_ripple_wrapper,asap7,2.2707979,60.0,0.68,1.0,740.275264,0.677,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_booth4_sklansky_wrapper,asap7,0.8827915000000001,10.0,0.55,1.0,4765.831225,0.896,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_booth4_sklansky_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult32u_normal_brentkung_wrapper,asap7,1.7507454,50.0,0.68,1.0,908.479881,0.715,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_normal_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_normal_koggestone_wrapper,asap7,0.9026431,50.0,0.68,1.0,969.948736,0.786,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_normal_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_normal_ripple_wrapper,asap7,2.2102646,60.0,0.68,1.0,757.790784,0.681,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_normal_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_normal_sklansky_wrapper,asap7,0.8585847999999999,10.0,0.55,1.0,4362.6025,0.867,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_normal_sklansky_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult4s_booth4_brentkung_wrapper,asap7,0.376515,50.0,0.68,1.0,50.566321,0.0433,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_booth4_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_booth4_koggestone_wrapper,asap7,0.33284199999999997,10.0,0.55,1.0,198.2464,0.0486,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_booth4_koggestone_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult4s_booth4_ripple_wrapper,asap7,0.3666637,50.0,0.68,1.0,48.692484,0.0447,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_booth4_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_booth4_sklansky_wrapper,asap7,0.3324187,50.0,0.68,1.0,52.823824,0.0454,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_normal_brentkung_wrapper,asap7,0.34191710000000003,10.0,0.55,1.0,142.0864,0.0439,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_normal_brentkung_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult4s_normal_koggestone_wrapper,asap7,0.3021485,10.0,0.55,1.0,152.201569,0.0452,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_normal_koggestone_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult4s_normal_ripple_wrapper,asap7,0.3407655,50.0,0.68,1.0,41.254929,0.0424,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult4s_normal_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
