design,platform,config_hash,param_hash,tag,status,critical_path_ns,die_area,total_power_mw,params_json,result_path
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,8dfac4d6,softmax_rowwise_ng45_v1_ef3ae2f9,ok,20.6518,176005.4209,1.43,"{""CLOCK_PERIOD"": 4.0, ""CORE_UTILIZATION"": 30, ""FLOW_RANDOM_SEED"": 101, ""PLACE_DENSITY"": 0.45, ""TAG"": ""softmax_rowwise_ng45_v1_ef3ae2f9""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_001/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/8dfac4d6/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,3b1e7e71,softmax_rowwise_ng45_v1_e48f4884,ok,20.3118,176005.4209,1.46,"{""CLOCK_PERIOD"": 4.0, ""CORE_UTILIZATION"": 30, ""FLOW_RANDOM_SEED"": 101, ""PLACE_DENSITY"": 0.6, ""TAG"": ""softmax_rowwise_ng45_v1_e48f4884""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_001/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/3b1e7e71/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,d86ac7dc,softmax_rowwise_ng45_v1_10663467,ok,20.2332,105898.1764,1.46,"{""CLOCK_PERIOD"": 4.0, ""CORE_UTILIZATION"": 50, ""FLOW_RANDOM_SEED"": 101, ""PLACE_DENSITY"": 0.45, ""TAG"": ""softmax_rowwise_ng45_v1_10663467""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_001/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/d86ac7dc/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,531b1b8f,softmax_rowwise_ng45_v1_8e66a538,failed,20.2332,105898.1764,1.46,"{""CLOCK_PERIOD"": 4.0, ""CORE_UTILIZATION"": 50, ""FLOW_RANDOM_SEED"": 101, ""PLACE_DENSITY"": 0.6, ""TAG"": ""softmax_rowwise_ng45_v1_8e66a538""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_001/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/531b1b8f/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,bc6c515c,softmax_rowwise_ng45_v1_18ca3e55,ok,20.4382,176005.4209,1.1,"{""CLOCK_PERIOD"": 6.0, ""CORE_UTILIZATION"": 30, ""FLOW_RANDOM_SEED"": 101, ""PLACE_DENSITY"": 0.45, ""TAG"": ""softmax_rowwise_ng45_v1_18ca3e55""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_001/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/bc6c515c/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,2203c1af,softmax_rowwise_ng45_v1_30041317,ok,20.2756,176005.4209,1.11,"{""CLOCK_PERIOD"": 6.0, ""CORE_UTILIZATION"": 30, ""FLOW_RANDOM_SEED"": 101, ""PLACE_DENSITY"": 0.6, ""TAG"": ""softmax_rowwise_ng45_v1_30041317""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_001/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/2203c1af/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,2224916a,softmax_rowwise_ng45_v1_98f12100,ok,20.3602,105898.1764,1.1,"{""CLOCK_PERIOD"": 6.0, ""CORE_UTILIZATION"": 50, ""FLOW_RANDOM_SEED"": 101, ""PLACE_DENSITY"": 0.45, ""TAG"": ""softmax_rowwise_ng45_v1_98f12100""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_001/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/2224916a/result.json
softmax_rowwise_int8_r8_acc24_seedvariance_wrapper,nangate45,fb8e70d9a744,7e9741e3,softmax_rowwise_ng45_v1_019fc87d,ok,20.4973,105898.1764,1.07,"{""CLOCK_PERIOD"": 6.0, ""CORE_UTILIZATION"": 50, ""FLOW_RANDOM_SEED"": 101, ""PLACE_DENSITY"": 0.6, ""TAG"": ""softmax_rowwise_ng45_v1_019fc87d""}",runs/designs/activations/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/trials/trial_001/softmax_rowwise_int8_r8_acc24_seedvariance_wrapper/work/7e9741e3/result.json
